time_s,position_um,time_s_filter,position_um_filter
14.495,2.822419383084281,14.495522066034441,2.8247821174044545
14.547,2.821913501410825,14.545580908793509,2.8246384907278372
14.595,2.829592898746455,14.595561294540486,2.8248221983823116
14.645999999999999,2.825248708682953,14.64549754821816,2.8249936838841414
14.696,2.824185969546807,14.695570120954347,2.8251607938983168
14.744999999999997,2.823356886194869,14.74554919908445,2.825028714874599
14.796000000000001,2.826536639071472,14.795493952271766,2.8250559521555805
14.846,2.825233570247293,14.845261523373434,2.8251408774882165
14.895,2.826773191343376,14.895050670153427,2.8252794855370573
14.944,2.8256054293309476,14.944895717554536,2.8257159874452995
14.995,2.825458588799067,14.994744033997817,2.8258336462499924
15.044,2.8266199656813416,15.04456456358265,2.8260239554068893
15.093999999999998,2.824480635867977,15.09454102647902,2.825686221413846
15.145,2.8240346487165815,15.14433507682227,2.8259234777229745
15.194,2.824631612977964,15.194350768224687,2.8262665884759635
15.244,2.8269675318207,15.244249754821615,2.826004670415138
15.293999999999999,2.82785482673387,15.294125531219128,2.8260677733720203
15.345,2.827565741418719,15.344124223602257,2.8257933041225627
15.394,2.825896030138531,15.39424910101318,2.8255329433649474
15.444999999999999,2.8263963895617024,15.444382151029522,2.8256076357476734
15.494,2.825105785044179,15.494237659365576,2.8255626519151247
15.544,2.821739979868433,15.54428179143488,2.8253207719451976
15.593999999999998,2.826186812919818,15.59433409610961,2.8253021191450745
15.645,2.82628291179631,15.644360248446974,2.8251977066046825
15.693,2.820332831960434,15.69445047401088,2.8250660668384646
15.744999999999997,2.8263624759196904,15.744406015037363,2.8241501055980227
15.795000000000002,2.819054263180187,15.794425629290389,2.823099144972285
15.845,2.8253245393996704,15.844363190584927,2.821741943878385
15.894,2.823941739634666,15.89439588100663,2.820217074607881
15.943000000000001,2.819832126083074,15.944377574370476,2.818454751419264
15.996,2.818315148821875,15.994507028440433,2.8165860595250436
16.045,2.8186051613367336,16.044495259888617,2.8144698701669286
16.094,2.813979841351404,16.09454102647901,2.8118660787579053
16.144,2.808166703397648,16.14455410264769,2.8097250098775377
16.194,2.800110535164222,16.194568813337458,2.807720188034241
16.245,2.803459751234286,16.244439032363278,2.805549969702553
16.294,2.801661264068453,16.294450474010873,2.80394771187434
16.345,2.8023978603617894,16.344491337038008,2.8022473212556984
16.395,2.8012426710265657,16.394617522065793,2.8012201235803347
16.445,2.799760017846658,16.444651847008583,2.800376981775964
16.494,2.7990277255069134,16.494615887544708,2.799602931564212
16.545,2.7993874829232106,16.544634194180862,2.799137727397383
16.594,2.801625419436563,16.594744360902016,2.799270837724053
16.644,2.7999567165146124,16.644738149721892,2.799198803452427
16.695,2.800345852915055,16.694618829682657,2.7987433271908353
16.745,2.798187050793088,16.74447662634823,2.7978044792686774
16.795,2.798560938352044,16.794401765282522,2.796927718406214
16.845,2.794880540076386,16.844139588100436,2.7956067921654513
16.894,2.793984414360494,16.894066034651598,2.794625628664222
16.944,2.794618747040333,16.94403497875098,2.7935913341171066
16.993,2.794163699629188,16.994102321019692,2.7927758938916707
17.045,2.792302532978364,17.04409087937209,2.791986706576116
17.093,2.787626549027301,17.094146779993206,2.791209189025602
17.143,2.788508510772432,17.144071265119063,2.7907980948440616
17.194,2.789853833057893,17.193951291271407,2.7903703339715498
17.244,2.7876939890474772,17.244072572735934,2.790037850340772
17.294,2.7886383088853175,17.294146126184767,2.7899762448832788
17.346,2.793833481404643,17.34431807780295,2.789968641068132
17.395,2.7916402136376344,17.39444557044761,2.7899229872713933
17.445,2.793156625511662,17.444528604118737,2.790011790104708
17.494,2.789973654702712,17.49467571101642,2.7900567621783363
17.544,2.78915466297672,17.54476234063394,2.7902392178212225
17.594,2.789983983362605,17.59487871853521,2.790449168919034
17.645,2.788778650656076,17.644770186335144,2.7902619804632693
17.696,2.789506248339874,17.694688133376662,2.7902645314536403
17.744,2.791585985173237,17.744517489375355,2.790066656445636
17.795,2.788440202036832,17.794488067995815,2.7898373553716853
17.844,2.7905747387571984,17.844419418110235,2.7895469107491784
17.895,2.7898195068960185,17.89454789146754,2.7896196232471513
17.945,2.788044571344205,17.94447924158195,2.7895976002566263
17.994,2.790636446549657,17.994449820202416,2.789871227326615
18.043,2.790440400091431,18.04448120300725,2.789699460818421
18.094,2.789760335333124,18.094340307289695,2.7896177122961014
18.145,2.790721566449859,18.14431611637763,2.7896533836624515
18.194,2.787692919965437,18.194321673749325,2.7895229102531123
18.246,2.791121335553118,18.244286041189664,2.7894350625332986
18.294,2.788726188338302,18.294268388361942,2.789514266462192
18.344,2.789015596268865,18.34423765936554,2.789362905128132
18.393,2.789311250605013,18.394085322000382,2.7894901217104477
18.445,2.789508911371923,18.444044458973245,2.7894885050534453
18.495,2.787609826373574,18.494170970905248,2.789452518935131
18.543,2.791471619641917,18.544200719189007,2.7897211076917166
18.595,2.789900260637058,18.594102647923886,2.789699061531406
18.643,2.788987784198793,18.64402288329492,2.7898359962422674
18.693,2.7898711595787042,18.693999019287077,2.7898499508887156
18.745,2.789878098269235,18.743891467799656,2.789623561650715
18.793,2.790270880329095,18.7939957502449,2.7897083533750844
18.844,2.790937534630686,18.843830663615282,2.7897172986773953
18.895,2.7893504897587253,18.89374436090198,2.789766070481743
